id,weight,gender
1,69.04990270334524,M
2,57.179693121832,F
3,54.31124518448688,M
4,58.212795275526865,F
5,66.58584086195201,M
6,53.122324613698645,F
7,66.27295164419574,M
8,60.187792132971076,F
9,60.24584626366602,M
10,54.94405132619644,F
11,60.08538075040522,M
12,60.92386721526384,F
13,62.24693444877051,M
14,49.771959849788956,F
15,59.71231826017068,M
16,56.81466186089012,F
17,70.66127496127285,M
18,60.65948843034723,F
19,61.462391352881774,M
20,51.21921291046418,F
21,64.80143488982938,M
22,64.70299118204987,F
23,59.83193341799949,M
24,46.74919281609155,F
25,70.7356057977784,M
26,51.55054908370553,F
27,67.71348162075401,M
28,56.27612613676299,F
29,74.8659214259888,M
30,51.078148232307,F
31,62.72626231840454,M
32,46.46428982445061,F
33,73.27109884580162,M
34,60.573674819958455,F
35,58.74733315109546,M
36,46.8762646198953,F
37,70.20557121791954,M
38,52.55341125078259,F
39,72.62833416778697,M
40,48.535631548972134,F
41,61.683485152125186,M
42,60.973282537710205,F
43,68.07938140740283,M
44,50.635977837919974,F
45,75.73159959871884,M
46,63.38655077069532,F
47,67.20981490541308,M
48,53.548744607217536,F
49,73.30190172853743,M
50,57.841873618845376,F
51,74.591529415872,M
52,55.48886543299559,F
53,67.69701712144256,M
54,46.99813099848171,F
55,67.94922917860193,M
56,55.23844792841167,F
57,53.960119862602696,M
58,58.04422348784789,F
59,72.0024048104521,M
60,56.978342148755715,F
61,58.571185994814854,M
62,57.12513393214077,F
63,61.68168559228781,M
64,54.07193352979927,F
65,59.841833397858466,M
66,41.63176012139185,F
67,66.06124905602336,M
68,54.16013347793259,F
69,64.62828898845997,M
70,60.66208767419168,F
71,60.219776484661104,M
72,56.34732080032586,F
73,76.80069521177037,M
74,52.35855123264166,F
75,63.745262502868954,M
76,56.16248437372825,F
77,75.03698411269099,M
78,57.742267931030554,F
79,63.40895931182341,M
80,52.10663197304571,F
81,64.53135520070826,M
82,61.885792727539936,F
83,71.73248001413405,M
84,43.92179693195283,F
85,58.22265723845878,M
86,43.480592579038465,F
87,62.332614362390416,M
88,44.526654334137746,F
89,53.842664709952075,M
90,61.55427071545898,F
91,72.90935297551114,M
92,46.784251931748614,F
93,66.62225874648736,M
94,53.03634105400914,F
95,61.578399398635774,M
96,50.88020833046289,F
97,61.34771651978913,M
98,39.812851580660094,F
99,68.19778471971108,M
100,61.49995082014027,F
101,59.42310491712169,M
102,55.02072435726037,F
103,63.34808159394729,M
104,55.32786652992575,F
105,64.86581207483182,M
106,38.29053919206036,F
107,61.7127509995283,M
108,51.77202627907275,F
109,57.778477323465246,M
110,55.227697700289326,F
111,73.2690247972505,M
112,51.134840375969425,F
113,61.14642142970146,M
114,59.90433911751227,F
115,65.00087260368942,M
116,61.616298832369885,F
117,63.45578243739698,M
118,57.82077528384064,F
119,63.138161672394276,M
120,52.03998645104522,F
121,69.57114007080415,M
122,64.1364379886042,F
123,76.79542755018191,M
124,50.63951228569812,F
125,55.972167971534155,M
126,58.36492326570525,F
127,61.16518081153748,M
128,42.747001782027326,F
129,71.31672298409215,M
130,57.28639761353282,F
131,71.14884553168852,M
132,59.65067155135539,F
133,57.21010682333862,M
134,53.54599225537205,F
135,60.77509800753583,M
136,61.45627690332205,F
137,55.26831296707282,M
138,45.568125695579695,F
139,69.26945232940828,M
140,57.538622258061785,F
141,66.84089950528103,M
142,43.4891114151275,F
143,65.19277531594221,M
144,64.94306948771262,F
145,66.00291947112582,M
146,41.12668300751461,F
147,67.45745556125921,M
148,58.827572150360545,F
149,54.582497056807185,M
150,58.55909824146498,F
151,71.45910950049083,M
152,45.227418019401014,F
153,69.46033693185275,M
154,51.634423398826584,F
155,67.9655958985102,M
156,62.15371969822509,F
157,69.49219024441942,M
158,37.191487338018064,F
159,63.96967784334554,M
160,62.374646015300925,F
161,68.54871782808667,M
162,54.13615069626563,F
163,67.63838263204266,M
164,62.51882368284169,F
165,66.00882783900151,M
166,50.265304541243545,F
167,58.13215211491656,M
168,48.50678440944637,F
169,51.54469321136169,M
170,58.519813044427515,F
171,74.9991453086056,M
172,50.93920404203558,F
173,48.808541730115614,M
174,57.15235862971351,F
175,66.17725308365576,M
176,61.464049522829214,F
177,64.31031299127847,M
178,60.91766320648468,F
179,56.90973866330576,M
180,53.18233599916153,F
181,65.32408895507325,M
182,47.453706955896585,F
183,60.156210134129665,M
184,47.89941978180701,F
